2026-07-27 09:18:41 | INFO     | monitor_convocatorias | === Inicio de ejecución del monitor de convocatorias ===
2026-08-01 16:42:31 | INFO     | monitor_convocatorias | Correo enviado correctamente a mcarpinterogo@gmail.com
2026-08-01 16:42:31 | INFO     | monitor_convocatorias | [uva] Resumen: 10 encontradas, 1 nuevas, 0 errores.
2026-08-01 16:42:33 | INFO     | monitor_convocatorias | --- Procesando UNED ---
2026-08-01 16:42:34 | INFO     | monitor_convocatorias | [UNED] 66 convocatorias encontradas.
2026-08-01 16:42:34 | INFO     | monitor_convocatorias | [uned] Resumen: 66 encontradas, 0 nuevas, 0 errores.
2026-08-01 16:42:36 | INFO     | monitor_convocatorias | --- Procesando UNIR ---
2026-08-01 16:42:37 | WARNING  | monitor_convocatorias | [unir] Intento 1/2 fallido: 404 Client Error: Not Found for url: https://www.unir.net/trabaja-en-unir/
2026-08-01 16:42:43 | WARNING  | monitor_convocatorias | [unir] Intento 2/2 fallido: 404 Client Error: Not Found for url: https://www.unir.net/trabaja-en-unir/
2026-08-01 16:42:43 | ERROR    | monitor_convocatorias | [unir] No se pudo obtener información tras 2 intentos: 404 Client Error: Not Found for url: https://www.unir.net/trabaja-en-unir/
2026-08-01 16:42:43 | INFO     | monitor_convocatorias | [unir] Resumen: 0 encontradas, 0 nuevas, 0 errores.
2026-08-01 16:42:45 | INFO     | monitor_convocatorias | --- Procesando UOC ---
2026-08-01 16:42:46 | WARNING  | monitor_convocatorias | [uoc] Intento 1/2 fallido: 404 Client Error: Not Found for url: https://www.uoc.edu/es/la-uoc/treballa-uoc
2026-08-01 16:42:51 | WARNING  | monitor_convocatorias | [uoc] Intento 2/2 fallido: 404 Client Error: Not Found for url: https://www.uoc.edu/es/la-uoc/treballa-uoc
2026-08-01 16:42:51 | ERROR    | monitor_convocatorias | [uoc] No se pudo obtener información tras 2 intentos: 404 Client Error: Not Found for url: https://www.uoc.edu/es/la-uoc/treballa-uoc
2026-08-01 16:42:51 | INFO     | monitor_convocatorias | [uoc] Resumen: 0 encontradas, 0 nuevas, 0 errores.
2026-08-01 16:42:53 | INFO     | monitor_convocatorias | --- Procesando Universidad Isabel I ---
2026-08-01 16:42:54 | INFO     | monitor_convocatorias | [isabel1] 2 posibles vacantes encontradas (scraper genérico heurístico).
2026-08-01 16:42:54 | INFO     | monitor_convocatorias | [isabel1] Resumen: 2 encontradas, 0 nuevas, 0 errores.
2026-08-01 16:42:56 | INFO     | monitor_convocatorias | --- Procesando Universidad Internacional de Valencia (VIU) ---
2026-08-01 16:42:56 | INFO     | monitor_convocatorias | [viu] 2 posibles vacantes encontradas (scraper genérico heurístico).
2026-08-01 16:42:56 | INFO     | monitor_convocatorias | [viu] Resumen: 2 encontradas, 0 nuevas, 0 errores.
2026-08-01 16:42:58 | INFO     | monitor_convocatorias | === Fin de la ejecución. Total: 80 encontradas, 1 nuevas, 0 errores. ===
